cart_item_id, cart_id, item_id, item_name, quantity, unit_price, total_price, notes, status, prepared_by, created_at, updated_at
CI001, CART001, M005, Butter Chicken, 2, 450, 900, "", SERVED, TM003, 2026-01-21 14:30:00, 2026-01-21 14:55:00
CI002, CART001, M011, Garlic Naan, 4, 80, 320, "extra crispy", SERVED, TM004, 2026-01-21 14:30:00, 2026-01-21 14:50:00
CI003, CART001, M006, Dal Makhani, 1, 280, 280, "", SERVED, TM003, 2026-01-21 14:30:00, 2026-01-21 14:52:00
CI004, CART003, M005, Butter Chicken, 2, 450, 900, "", PREPARING, TM003, 2026-01-25 14:00:00, 2026-01-25 14:10:00
CI005, CART003, M011, Garlic Naan, 4, 80, 320, "", PENDING, , 2026-01-25 14:00:00, 2026-01-25 14:00:00
CI006, CART004, M008, Chicken Biryani, 1, 380, 380, "", DRAFT, , 2026-01-25 15:00:00, 2026-01-25 15:00:00
CI007, CART004, M019, Masala Chai, 2, 50, 100, "", DRAFT, , 2026-01-25 15:02:00, 2026-01-25 15:02:00
CI008, CART005, M001, Paneer Tikka, 1, 320, 320, "", PENDING, , 2026-01-25 16:00:00, 2026-01-25 16:00:00
CI009, CART005, M012, Butter Naan, 3, 60, 180, "", PENDING, , 2026-01-25 16:00:00, 2026-01-25 16:00:00
CI010, CART006, F002, Chicken Burger, 2, 169, 338, "no onion", SERVED, TM006, 2026-01-25 12:00:00, 2026-01-25 12:15:00
CI011, CART006, F006, Regular Fries, 1, 79, 79, "", SERVED, TM007, 2026-01-25 12:00:00, 2026-01-25 12:10:00
CI012, CART006, F011, Coke, 1, 59, 59, "no ice", SERVED, TM006, 2026-01-25 12:00:00, 2026-01-25 12:05:00
CI013, CART007, F019, Combo Meal 1, 1, 249, 249, "", PREPARING, TM006, 2026-01-25 13:00:00, 2026-01-25 13:10:00
CI014, CART007, F016, Vanilla Sundae, 1, 79, 79, "", PENDING, , 2026-01-25 13:00:00, 2026-01-25 13:00:00
CI015, CART008, F004, Double Cheese Burger, 1, 229, 229, "extra cheese", DRAFT, , 2026-01-25 14:00:00, 2026-01-25 14:00:00
CI016, CART008, F006, Regular Fries, 1, 79, 79, "", DRAFT, , 2026-01-25 14:02:00, 2026-01-25 14:02:00
