resource_id, business_id, type, name, capacity, meta_json, status, created_at, updated_at
T01, BIZ001, TABLE, Table 1 (Window), 2, "{""location"":""window"",""ac"":true}", ASSIGNED, 2026-01-01 00:00:00, 2026-01-25 14:00:00
T02, BIZ001, TABLE, Table 2 (Window), 2, "{""location"":""window"",""ac"":true}", ASSIGNED, 2026-01-01 00:00:00, 2026-01-01 00:00:00
T03, BIZ001, TABLE, Table 3 (Center), 4, "{""location"":""center"",""ac"":true}", ASSIGNED, 2026-01-01 00:00:00, 2026-01-01 00:00:00
T04, BIZ001, TABLE, Table 4 (Center), 4, "{""location"":""center"",""ac"":true}", AVAILABLE, 2026-01-01 00:00:00, 2026-01-01 00:00:00
T05, BIZ001, TABLE, Table 5 (Private), 6, "{""location"":""private"",""ac"":true}", ASSIGNED, 2026-01-01 00:00:00, 2026-01-01 00:00:00
T06, BIZ001, TABLE, Table 6 (Private), 8, "{""location"":""private"",""ac"":true}", AVAILABLE, 2026-01-01 00:00:00, 2026-01-01 00:00:00
T07, BIZ001, TABLE, Table 7 (Garden), 4, "{""location"":""outdoor"",""ac"":false}", AVAILABLE, 2026-01-01 00:00:00, 2026-01-01 00:00:00
P01, BIZ004, TABLE, Counter 1, 2, "{""location"":""counter"",""ac"":true}", AVAILABLE, 2026-01-01 00:00:00, 2026-01-01 00:00:00
P02, BIZ004, TABLE, Counter 2, 2, "{""location"":""counter"",""ac"":true}", ASSIGNED, 2026-01-01 00:00:00, 2026-01-01 00:00:00
P03, BIZ004, TABLE, Booth 1, 4, "{""location"":""booth"",""ac"":true}", AVAILABLE, 2026-01-01 00:00:00, 2026-01-01 00:00:00
P04, BIZ004, TABLE, Booth 2, 4, "{""location"":""booth"",""ac"":true}", ASSIGNED, 2026-01-01 00:00:00, 2026-01-01 00:00:00
P05, BIZ004, TABLE, Family Table 1, 6, "{""location"":""family"",""ac"":true}", AVAILABLE, 2026-01-01 00:00:00, 2026-01-01 00:00:00
P06, BIZ004, TABLE, Drive Thru, 1, "{""location"":""drive_thru"",""ac"":false}", AVAILABLE, 2026-01-01 00:00:00, 2026-01-01 00:00:00
R101, BIZ002, ROOM, Deluxe Room 101, 2, "{""floor"":1,""view"":""city"",""ac"":true}", AVAILABLE, 2026-01-01 00:00:00, 2026-01-01 00:00:00
R102, BIZ002, ROOM, Deluxe Room 102, 2, "{""floor"":1,""view"":""city"",""ac"":true}", ASSIGNED, 2026-01-01 00:00:00, 2026-01-01 00:00:00
R201, BIZ002, ROOM, Suite 201, 4, "{""floor"":2,""view"":""pool"",""ac"":true}", AVAILABLE, 2026-01-01 00:00:00, 2026-01-01 00:00:00
R202, BIZ002, ROOM, Suite 202, 4, "{""floor"":2,""view"":""garden"",""ac"":true}", AVAILABLE, 2026-01-01 00:00:00, 2026-01-01 00:00:00
R301, BIZ002, ROOM, Presidential Suite, 6, "{""floor"":3,""view"":""panoramic"",""ac"":true}", AVAILABLE, 2026-01-01 00:00:00, 2026-01-01 00:00:00
S01, BIZ003, SLOT, Morning Slot 1, 1, "{""time"":""09:00"",""duration"":30}", AVAILABLE, 2026-01-01 00:00:00, 2026-01-01 00:00:00
S02, BIZ003, SLOT, Morning Slot 2, 1, "{""time"":""09:30"",""duration"":30}", ASSIGNED, 2026-01-01 00:00:00, 2026-01-01 00:00:00
S03, BIZ003, SLOT, Morning Slot 3, 1, "{""time"":""10:00"",""duration"":30}", AVAILABLE, 2026-01-01 00:00:00, 2026-01-01 00:00:00
S04, BIZ003, SLOT, Morning Slot 4, 1, "{""time"":""10:30"",""duration"":30}", AVAILABLE, 2026-01-01 00:00:00, 2026-01-01 00:00:00
S05, BIZ003, SLOT, Afternoon Slot 1, 1, "{""time"":""14:00"",""duration"":30}", AVAILABLE, 2026-01-01 00:00:00, 2026-01-01 00:00:00
S06, BIZ003, SLOT, Afternoon Slot 2, 1, "{""time"":""14:30"",""duration"":30}", AVAILABLE, 2026-01-01 00:00:00, 2026-01-01 00:00:00
S07, BIZ003, SLOT, Afternoon Slot 3, 1, "{""time"":""15:00"",""duration"":30}", AVAILABLE, 2026-01-01 00:00:00, 2026-01-01 00:00:00
S08, BIZ003, SLOT, Evening Slot 1, 1, "{""time"":""17:00"",""duration"":30}", AVAILABLE, 2026-01-01 00:00:00, 2026-01-01 00:00:00
