item_id, business_id, name, category, price, available, quantity, description, created_at, updated_at
M001, BIZ001, Paneer Tikka, Starters, 320, true, 50, Cottage cheese marinated in spices and grilled, 2026-01-01 00:00:00, 2026-01-01 00:00:00
M002, BIZ001, Chicken Tikka, Starters, 380, true, 40, Boneless chicken marinated and grilled in tandoor, 2026-01-01 00:00:00, 2026-01-01 00:00:00
M003, BIZ001, Veg Spring Rolls, Starters, 220, true, 30, Crispy rolls with mixed vegetable filling, 2026-01-01 00:00:00, 2026-01-01 00:00:00
M004, BIZ001, Fish Amritsari, Starters, 420, true, 25, Mustard fish fried Amritsari style, 2026-01-01 00:00:00, 2026-01-01 00:00:00
M005, BIZ001, Butter Chicken, Main Course, 450, true, 60, Creamy tomato-based chicken curry, 2026-01-01 00:00:00, 2026-01-01 00:00:00
M006, BIZ001, Dal Makhani, Main Course, 280, true, 40, Slow-cooked black lentils with cream, 2026-01-01 00:00:00, 2026-01-01 00:00:00
M007, BIZ001, Paneer Butter Masala, Main Course, 350, true, 45, Cottage cheese in rich tomato gravy, 2026-01-01 00:00:00, 2026-01-01 00:00:00
M008, BIZ001, Chicken Biryani, Main Course, 380, true, 50, Fragrant basmati rice with spiced chicken, 2026-01-01 00:00:00, 2026-01-01 00:00:00
M009, BIZ001, Veg Biryani, Main Course, 320, true, 40, Aromatic rice with mixed vegetables, 2026-01-01 00:00:00, 2026-01-01 00:00:00
M010, BIZ001, Mutton Rogan Josh, Main Course, 520, true, 30, Kashmiri style mutton curry, 2026-01-01 00:00:00, 2026-01-01 00:00:00
M011, BIZ001, Garlic Naan, Breads, 80, true, 100, Garlic flavored leavened bread, 2026-01-01 00:00:00, 2026-01-01 00:00:00
M012, BIZ001, Butter Naan, Breads, 60, true, 100, Butter brushed leavened bread, 2026-01-01 00:00:00, 2026-01-01 00:00:00
M013, BIZ001, Laccha Paratha, Breads, 70, true, 80, Layered whole wheat bread, 2026-01-01 00:00:00, 2026-01-01 00:00:00
M014, BIZ001, Jeera Rice, Rice, 180, true, 50, Cumin flavored basmati rice, 2026-01-01 00:00:00, 2026-01-01 00:00:00
M015, BIZ001, Steamed Rice, Rice, 120, true, 60, Plain steamed basmati rice, 2026-01-01 00:00:00, 2026-01-01 00:00:00
M016, BIZ001, Gulab Jamun, Desserts, 150, true, 40, Deep fried milk solids in sugar syrup, 2026-01-01 00:00:00, 2026-01-01 00:00:00
M017, BIZ001, Rasmalai, Desserts, 180, true, 30, Cottage cheese dumplings in sweetened milk, 2026-01-01 00:00:00, 2026-01-01 00:00:00
M018, BIZ001, Kulfi, Desserts, 120, true, 50, Traditional Indian ice cream, 2026-01-01 00:00:00, 2026-01-01 00:00:00
M019, BIZ001, Masala Chai, Beverages, 50, true, 100, Spiced Indian tea, 2026-01-01 00:00:00, 2026-01-01 00:00:00
M020, BIZ001, Fresh Lime Soda, Beverages, 80, true, 100, Lemon with soda sweet/salt, 2026-01-01 00:00:00, 2026-01-01 00:00:00
M021, BIZ001, Mango Lassi, Beverages, 120, true, 60, Mango yogurt drink, 2026-01-01 00:00:00, 2026-01-01 00:00:00
M022, BIZ001, Cold Coffee, Beverages, 150, true, 50, Chilled coffee with ice cream, 2026-01-01 00:00:00, 2026-01-01 00:00:00
F001, BIZ004, Classic Burger, Burgers, 149, true, 100, Juicy beef patty with lettuce and cheese, 2026-01-01 00:00:00, 2026-01-01 00:00:00
F002, BIZ004, Chicken Burger, Burgers, 169, true, 100, Crispy chicken patty with mayo, 2026-01-01 00:00:00, 2026-01-01 00:00:00
F003, BIZ004, Veg Burger, Burgers, 129, true, 80, Veggie patty with fresh veggies, 2026-01-01 00:00:00, 2026-01-01 00:00:00
